speaker;country;group;position;eurosceptic
bisky;de;sd;centreleft;FALSE
callanan;gb;ecr;right;TRUE
cohn-bendit;de;greens;left;FALSE
crowley;ir;uen;right;TRUE
daul;fr;epp;centreright;FALSE
graaff;nl;enf;right;TRUE
farage;gb;efdd;right;TRUE
frassoni;it;greens;left;FALSE
harms;de;greens;left;FALSE
kamall;gb;ecr;right;TRUE
kaminski;pl;ecr;right;TRUE
lamberts;be;greens;left;FALSE
muscardini;it;uen;right;TRUE
schulz;de;sd;centreleft;FALSE
sinnott;ir;indep;None;None
speroni;it;efdd;right;TRUE
swoboda;au;sd;centreleft;FALSE
verhofstadt;be;alde;centre;FALSE
watson;gb;alde;centre;FALSE
wurtz;fr;gue/ngl;left;TRUE
zahradil;cz;ecr;right;TRUE
zimmer;de;gue/ngl;left;TRUE
